00	00	00	00
00	00	01	00
00	00	10	00
00	00	11	00
00	01	00	0E
00	01	01	0E
00	01	10	0E
00	01	11	0E
00	10	00	E0
00	10	01	E0
00	10	10	E0
00	10	11	E0
00	11	00	EE
00	11	01	EE
00	11	10	EE
00	11	11	EE
01	00	00	00
01	00	01	00
01	00	10	00
01	00	11	00
01	01	00	0E
01	01	01	0E
01	01	10	0E
01	01	11	0E
01	10	00	E0
01	10	01	E0
01	10	10	E0
01	10	11	E0
01	11	00	EE
01	11	01	EE
01	11	10	EE
01	11	11	EE
10	00	00	00
10	00	01	00
10	00	10	00
10	00	11	00
10	01	00	0E
10	01	01	0E
10	01	10	0E
10	01	11	0E
10	10	00	E0
10	10	01	E0
10	10	10	E0
10	10	11	E0
10	11	00	EE
10	11	01	EE
10	11	10	EE
10	11	11	EE
11	00	00	00
11	00	01	00
11	00	10	00
11	00	11	00
11	01	00	0E
11	01	01	0E
11	01	10	0E
11	01	11	0E
11	10	00	E0
11	10	01	E0
11	10	10	E0
11	10	11	E0
11	11	00	EE
11	11	01	EE
11	11	10	EE
11	11	11	EE
